# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_sqL_16> 
0.49 0.135497 
0.49125 0.175988 
0.4925 0.212642 
0.49375 0.244207 
0.495 0.269292 
0.49625 0.286359 
0.4975 0.293712 
0.49875 0.289488 
0.5 0.271649 


0.5 0.271649 
0.50125 0.289488 
0.5025 0.293712 
0.50375 0.286359 
0.505 0.269292 
0.50625 0.244207 
0.5075 0.212642 
0.50875 0.175988 
0.51 0.135497 
0.51125 0.0922957 
0.5125 0.047386 
0.51375 0.00165976 
0.515 -0.044096 
0.51625 -0.0891918 
0.5175 -0.133028 
0.51875 -0.175089 
0.52 -0.214936 
0.52125 -0.252203 
0.5225 -0.286586 
0.52375 -0.317845 
0.525 -0.345794 
0.52625 -0.370297 
0.5275 -0.391262 
0.52875 -0.408641 
0.53 -0.422424 
0.53125 -0.432631 
0.5325 -0.439315 
0.53375 -0.442554 
0.535 -0.442451 
0.53625 -0.439128 
0.5375 -0.432725 
0.53875 -0.423398 
0.54 -0.411316 
0.54125 -0.396655 
0.5425 -0.379605 
0.54375 -0.360357 
0.545 -0.339111 
0.54625 -0.316068 
0.5475 -0.291429 
0.54875 -0.265399 
0.55 -0.238178 
0.55125 -0.209968 
0.5525 -0.180963 
0.55375 -0.151355 
0.555 -0.121333 
0.55625 -0.0910768 
0.5575 -0.0607612 
0.55875 -0.0305541 
0.56 -0.000615651 
0.56125 0.028902 
0.5625 0.0578549 
0.56375 0.0861078 
0.565 0.113534 
0.56625 0.140016 
0.5675 0.165446 
0.56875 0.189724 
0.57 0.212761 
0.57125 0.234475 
0.5725 0.254795 
0.57375 0.273658 
0.575 0.29101 
0.57625 0.306807 
0.5775 0.321011 
0.57875 0.333595 
0.58 0.344539 
0.58125 0.353831 
0.5825 0.361465 
0.58375 0.367445 
0.585 0.37178 
0.58625 0.374486 
0.5875 0.375586 
0.58875 0.37511 
0.59 0.37309 
0.59125 0.369567 
0.5925 0.364585 
0.59375 0.358193 
0.595 0.350445 
0.59625 0.341399 
0.5975 0.331114 
0.59875 0.319655 
0.6 0.30709 
0.60125 0.293487 
0.6025 0.278918 
0.60375 0.263456 
0.605 0.247177 
0.60625 0.230156 
0.6075 0.212471 
0.60875 0.194199 
0.61 0.175418 
0.61125 0.156207 
0.6125 0.136642 
0.61375 0.116801 
0.615 0.0967605 
0.61625 0.0765957 
0.6175 0.0563809 
0.61875 0.0361889 
0.62 0.0160906 
0.62125 -0.00384459 
0.6225 -0.0235495 
0.62375 -0.0429589 
0.625 -0.0620103 
0.62625 -0.0806433 
0.6275 -0.0988003 
0.62875 -0.116426 
0.63 -0.13347 
0.63125 -0.149881 
0.6325 -0.165614 
0.63375 -0.180626 
0.635 -0.194876 
0.63625 -0.20833 
0.6375 -0.220952 
0.63875 -0.232713 
0.64 -0.243586 
0.64125 -0.253548 
0.6425 -0.262579 
0.64375 -0.27066 
0.645 -0.27778 
0.64625 -0.283927 
0.6475 -0.289095 
0.64875 -0.293279 
0.65 -0.296478 
0.65125 -0.298695 
0.6525 -0.299935 
0.65375 -0.300207 
0.655 -0.29952 
0.65625 -0.297888 
0.6575 -0.295329 
0.65875 -0.291861 
0.66 -0.287505 
0.66125 -0.282285 
0.6625 -0.276227 
0.66375 -0.26936 
0.665 -0.261713 
0.66625 -0.253319 
0.6675 -0.244211 
0.66875 -0.234424 
0.67 -0.223997 
