# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_L_20> 
0.4275 -0.141894 
0.42875 -0.155119 
0.43 -0.167864 
0.43125 -0.180032 
0.4325 -0.191524 
0.43375 -0.202238 
0.435 -0.212072 
0.43625 -0.220922 
0.4375 -0.228682 
0.43875 -0.235249 
0.44 -0.240519 
0.44125 -0.24439 
0.4425 -0.246761 
0.44375 -0.247537 
0.445 -0.246623 
0.44625 -0.243931 
0.4475 -0.23938 
0.44875 -0.232894 
0.45 -0.224406 
0.45125 -0.213859 
0.4525 -0.201206 
0.45375 -0.186414 
0.455 -0.169461 
0.45625 -0.150344 
0.4575 -0.129076 
0.45875 -0.105688 
0.46 -0.0802341 
0.46125 -0.0527914 
0.4625 -0.0234621 
0.46375 0.00762315 
0.465 0.0403035 
0.46625 0.0743847 
0.4675 0.109637 
0.46875 0.145791 
0.47 0.182536 
0.47125 0.219515 
0.4725 0.256325 
0.47375 0.292508 
0.475 0.32755 
0.47625 0.36088 
0.4775 0.391859 
0.47875 0.419783 
0.48 0.443872 
0.48125 0.46327 
0.4825 0.477038 
0.48375 0.484149 
0.485 0.483482 
0.48625 0.473817 
0.4875 0.453828 
0.48875 0.422081 
0.49 0.377019 
0.49125 0.316965 
0.4925 0.240109 
0.49375 0.1445 
0.495 0.0280425 
0.49625 -0.111513 
0.4975 -0.276581 
0.49875 -0.469746 
0.5 -0.693774 


0.5 -0.693774 
0.50125 -0.469746 
0.5025 -0.276581 
0.50375 -0.111513 
0.505 0.0280425 
0.50625 0.1445 
0.5075 0.240109 
0.50875 0.316965 
0.51 0.377019 
0.51125 0.422081 
0.5125 0.453828 
0.51375 0.473817 
0.515 0.483482 
0.51625 0.484149 
0.5175 0.477038 
0.51875 0.46327 
0.52 0.443872 
0.52125 0.419783 
0.5225 0.391859 
0.52375 0.36088 
0.525 0.32755 
0.52625 0.292508 
0.5275 0.256325 
0.52875 0.219515 
0.53 0.182536 
0.53125 0.145791 
0.5325 0.109637 
0.53375 0.0743847 
0.535 0.0403035 
0.53625 0.00762315 
0.5375 -0.0234621 
0.53875 -0.0527914 
0.54 -0.0802341 
0.54125 -0.105688 
0.5425 -0.129076 
0.54375 -0.150344 
0.545 -0.169461 
0.54625 -0.186414 
0.5475 -0.201206 
0.54875 -0.213859 
0.55 -0.224406 
0.55125 -0.232894 
0.5525 -0.23938 
0.55375 -0.243931 
0.555 -0.246623 
0.55625 -0.247537 
0.5575 -0.246761 
0.55875 -0.24439 
0.56 -0.240519 
0.56125 -0.235249 
0.5625 -0.228682 
0.56375 -0.220922 
0.565 -0.212072 
0.56625 -0.202238 
