# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_B_10> 
0.6775 -0.260368 
0.67875 -0.251684 
0.68 -0.242644 
0.68125 -0.23326 
0.6825 -0.223546 
0.68375 -0.213518 
0.685 -0.203188 
0.68625 -0.192572 
0.6875 -0.181685 
0.68875 -0.170543 
0.69 -0.159163 
0.69125 -0.147559 
0.6925 -0.135749 
0.69375 -0.123749 
0.695 -0.111576 
0.69625 -0.0992488 
0.6975 -0.0867832 
0.69875 -0.0741973 
0.7 -0.0615087 
0.70125 -0.0487353 
0.7025 -0.035895 
0.70375 -0.0230057 
0.705 -0.0100855 
0.70625 0.00284762 
0.7075 0.0157756 
0.70875 0.0286806 
0.71 0.0415444 
0.71125 0.0543494 
0.7125 0.0670778 
0.71375 0.0797119 
0.715 0.0922343 
0.71625 0.104628 
0.7175 0.116875 
0.71875 0.128959 
0.72 0.140863 
0.72125 0.152571 
0.7225 0.164068 
0.72375 0.175336 
0.725 0.18636 
0.72625 0.197126 
0.7275 0.207618 
0.72875 0.217822 
0.73 0.227725 
0.73125 0.237311 
0.7325 0.24657 
0.73375 0.255486 
0.735 0.264049 
0.73625 0.272247 
0.7375 0.280068 
0.73875 0.287502 
0.74 0.294537 
0.74125 0.301166 
0.7425 0.307378 
0.74375 0.313165 
0.745 0.318518 
0.74625 0.323431 
0.7475 0.327897 
0.74875 0.33191 
0.75 0.335463 
0.75125 0.338552 
0.7525 0.341173 
0.75375 0.343321 
0.755 0.344994 
0.75625 0.346189 
0.7575 0.346905 
0.75875 0.34714 
0.76 0.346894 
0.76125 0.346166 
0.7625 0.344959 
0.76375 0.343272 
0.765 0.341109 
0.76625 0.338472 
0.7675 0.335364 
0.76875 0.33179 
0.77 0.327754 
0.77125 0.323261 
0.7725 0.318317 
0.77375 0.31293 
0.775 0.307106 
0.77625 0.300852 
0.7775 0.294178 
0.77875 0.287092 
0.78 0.279604 
0.78125 0.271723 
0.7825 0.263461 
0.78375 0.254828 
0.785 0.245837 
0.78625 0.236499 
0.7875 0.226828 
0.78875 0.216836 
0.79 0.206537 
0.79125 0.195945 
0.7925 0.185075 
0.79375 0.173941 
0.795 0.16256 
0.79625 0.150946 
0.7975 0.139115 
0.79875 0.127085 
0.8 0.114872 
0.80125 0.102492 
0.8025 0.0899634 
0.80375 0.0773033 
0.805 0.0645293 
0.80625 0.0516595 
0.8075 0.038712 
0.80875 0.0257049 
0.81 0.0126568 
0.81125 -0.000414036 
0.8125 -0.0134889 
0.81375 -0.0265493 
0.815 -0.0395764 
0.81625 -0.0525518 
0.8175 -0.0654567 
0.81875 -0.0782725 
0.82 -0.0909808 
0.82125 -0.103563 
0.8225 -0.116001 
0.82375 -0.128277 
0.825 -0.140373 
0.82625 -0.15227 
0.8275 -0.163953 
0.82875 -0.175402 
0.83 -0.186601 
0.83125 -0.197534 
0.8325 -0.208185 
0.83375 -0.218536 
0.835 -0.228573 
0.83625 -0.238281 
0.8375 -0.247644 
0.83875 -0.256649 
0.84 -0.265281 
0.84125 -0.273527 
0.8425 -0.281374 
0.84375 -0.288811 
0.845 -0.295825 
0.84625 -0.302405 
0.8475 -0.308541 
0.84875 -0.314222 
0.85 -0.31944 
0.85125 -0.324185 
0.8525 -0.328451 
0.85375 -0.332229 
0.855 -0.335513 
0.85625 -0.338298 
0.8575 -0.340577 
0.85875 -0.342348 
0.86 -0.343605 
0.86125 -0.344348 
0.8625 -0.344572 
0.86375 -0.344278 
0.865 -0.343464 
0.86625 -0.342131 
0.8675 -0.340281 
0.86875 -0.337915 
0.87 -0.335036 
0.87125 -0.331647 
0.8725 -0.327754 
0.87375 -0.323361 
0.875 -0.318474 
0.87625 -0.3131 
0.8775 -0.307247 
0.87875 -0.300924 
0.88 -0.29414 
0.88125 -0.286904 
0.8825 -0.279228 
0.88375 -0.271124 
0.885 -0.262603 
0.88625 -0.253679 
0.8875 -0.244366 
0.88875 -0.234679 
0.89 -0.224632 
0.89125 -0.214242 
0.8925 -0.203525 
0.89375 -0.192499 
0.895 -0.181181 
0.89625 -0.16959 
0.8975 -0.157745 
0.89875 -0.145665 
0.9 -0.133372 
0.90125 -0.120884 
0.9025 -0.108224 
0.90375 -0.095412 
0.905 -0.0824708 
0.90625 -0.0694223 
0.9075 -0.0562889 
0.90875 -0.0430934 
0.91 -0.0298589 
0.91125 -0.0166085 
0.9125 -0.00336556 
0.91375 0.00984635 
0.915 0.0230037 
0.91625 0.0360828 
0.9175 0.0490602 
0.91875 0.0619121 
0.92 0.0746153 
0.92125 0.0871463 
0.9225 0.099482 
0.92375 0.111599 
0.925 0.123476 
0.92625 0.13509 
0.9275 0.146418 
0.92875 0.15744 
0.93 0.168134 
0.93125 0.17848 
0.9325 0.188457 
0.93375 0.198047 
0.935 0.207231 
0.93625 0.21599 
0.9375 0.224308 
0.93875 0.232168 
0.94 0.239554 
0.94125 0.246451 
0.9425 0.252846 
0.94375 0.258726 
0.945 0.264078 
0.94625 0.268892 
0.9475 0.273159 
0.94875 0.276868 
0.95 0.280013 
0.95125 0.282588 
0.9525 0.284586 
0.95375 0.286005 
0.955 0.286841 
0.95625 0.287092 
