# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_Bip_wrt_M_5> 
0.48625 0.392069 
0.4875 0.357249 
0.48875 0.322193 
0.49 0.286925 
0.49125 0.251467 
0.4925 0.215845 
0.49375 0.180081 
0.495 0.1442 
0.49625 0.108226 
0.4975 0.0721849 
0.49875 0.0361011 
0.5 -5.30193e-13 


0.5 -5.30193e-13 
0.50125 -0.0361011 
0.5025 -0.0721849 
0.50375 -0.108226 
0.505 -0.1442 
0.50625 -0.180081 
0.5075 -0.215845 
0.50875 -0.251467 
0.51 -0.286925 
0.51125 -0.322193 
0.5125 -0.357249 
0.51375 -0.392069 
0.515 -0.426631 
0.51625 -0.460911 
0.5175 -0.494888 
0.51875 -0.528539 
0.52 -0.561842 
0.52125 -0.594776 
0.5225 -0.62732 
0.52375 -0.659453 
0.525 -0.691153 
0.52625 -0.722402 
0.5275 -0.753177 
0.52875 -0.783461 
0.53 -0.813233 
0.53125 -0.842474 
0.5325 -0.871166 
0.53375 -0.89929 
0.535 -0.926828 
0.53625 -0.953763 
0.5375 -0.980077 
0.53875 -1.00575 
0.54 -1.03078 
0.54125 -1.05513 
0.5425 -1.07879 
0.54375 -1.10176 
0.545 -1.12401 
0.54625 -1.14553 
0.5475 -1.1663 
0.54875 -1.18632 
0.55 -1.20557 
0.55125 -1.22403 
0.5525 -1.2417 
0.55375 -1.25857 
0.555 -1.27461 
0.55625 -1.28983 
0.5575 -1.30421 
0.55875 -1.31774 
0.56 -1.33042 
0.56125 -1.34223 
0.5625 -1.35317 
0.56375 -1.36323 
0.565 -1.37241 
0.56625 -1.38069 
0.5675 -1.38807 
0.56875 -1.39456 
0.57 -1.40013 
0.57125 -1.4048 
0.5725 -1.40855 
0.57375 -1.41138 
0.575 -1.4133 
0.57625 -1.41429 
0.5775 -1.41437 
0.57875 -1.41352 
0.58 -1.41175 
0.58125 -1.40907 
0.5825 -1.40546 
0.58375 -1.40094 
0.585 -1.39551 
0.58625 -1.38916 
0.5875 -1.38191 
0.58875 -1.37377 
0.59 -1.36472 
0.59125 -1.35478 
0.5925 -1.34396 
0.59375 -1.33227 
0.595 -1.3197 
0.59625 -1.30628 
0.5975 -1.292 
0.59875 -1.27688 
0.6 -1.26092 
0.60125 -1.24414 
0.6025 -1.22655 
0.60375 -1.20816 
0.605 -1.18898 
0.60625 -1.16903 
0.6075 -1.14831 
0.60875 -1.12684 
0.61 -1.10463 
0.61125 -1.08171 
0.6125 -1.05807 
0.61375 -1.03375 
0.615 -1.00875 
0.61625 -0.983096 
0.6175 -0.956797 
0.61875 -0.929874 
0.62 -0.902344 
0.62125 -0.874225 
0.6225 -0.845535 
0.62375 -0.816293 
0.625 -0.786519 
0.62625 -0.756232 
0.6275 -0.725451 
0.62875 -0.694198 
0.63 -0.662492 
0.63125 -0.630354 
0.6325 -0.597805 
0.63375 -0.564867 
0.635 -0.53156 
0.63625 -0.497908 
0.6375 -0.463932 
0.63875 -0.429655 
0.64 -0.395098 
0.64125 -0.360284 
0.6425 -0.325237 
0.64375 -0.289979 
0.645 -0.254533 
0.64625 -0.218923 
0.6475 -0.183171 
0.64875 -0.147302 
0.65 -0.111339 
0.65125 -0.0753049 
0.6525 -0.0392239 
0.65375 -0.00311948 
0.655 0.0329848 
0.65625 0.0690652 
0.6575 0.105098 
0.65875 0.14106 
0.66 0.176928 
0.66125 0.212677 
0.6625 0.248285 
0.66375 0.283728 
0.665 0.318984 
0.66625 0.354029 
0.6675 0.388839 
0.66875 0.423394 
0.67 0.457669 
0.67125 0.491642 
0.6725 0.525292 
0.67375 0.558597 
0.675 0.591534 
0.67625 0.624082 
0.6775 0.656219 
0.67875 0.687926 
0.68 0.719181 
0.68125 0.749964 
0.6825 0.780254 
0.68375 0.810033 
0.685 0.83928 
0.68625 0.867977 
0.6875 0.896104 
0.68875 0.923644 
0.69 0.950579 
0.69125 0.97689 
