# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:32
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_M_16> 
0.86375 0.278043 
0.865 0.271907 
0.86625 0.265484 
0.8675 0.258786 
0.86875 0.251829 
0.87 0.244628 
0.87125 0.237198 
0.8725 0.229554 
0.87375 0.221714 
0.875 0.213695 
0.87625 0.205514 
0.8775 0.197189 
0.87875 0.188738 
0.88 0.180181 
0.88125 0.171534 
0.8825 0.162819 
0.88375 0.154053 
0.885 0.145257 
0.88625 0.136449 
0.8875 0.12765 
0.88875 0.118879 
0.89 0.110156 
0.89125 0.101499 
0.8925 0.092929 
0.89375 0.0844641 
0.895 0.0761233 
0.89625 0.0679253 
0.8975 0.0598882 
0.89875 0.0520298 
0.9 0.0443674 
0.90125 0.0369178 
0.9025 0.0296971 
0.90375 0.0227211 
0.905 0.0160046 
0.90625 0.00956177 
0.9075 0.00340601 
0.90875 -0.00245014 
0.91 -0.00799503 
0.91125 -0.0132179 
0.9125 -0.0181092 
0.91375 -0.02266 
0.915 -0.0268629 
0.91625 -0.0307113 
0.9175 -0.0342001 
0.91875 -0.037325 
0.92 -0.0400833 
0.92125 -0.0424734 
0.9225 -0.044495 
0.92375 -0.0461494 
0.925 -0.0474389 
0.92625 -0.0483674 
0.9275 -0.0489402 
0.92875 -0.049164 
0.93 -0.0490468 
0.93125 -0.0485983 
0.9325 -0.0478294 
0.93375 -0.0467525 
0.935 -0.0453813 
0.93625 -0.0437311 
0.9375 -0.0418184 
0.93875 -0.0396611 
0.94 -0.0372783 
0.94125 -0.0346905 
0.9425 -0.031919 
0.94375 -0.0289868 
0.945 -0.0259175 
0.94625 -0.0227357 
0.9475 -0.019467 
0.94875 -0.0161378 
0.95 -0.012775 
0.95125 -0.00940599 
0.9525 -0.00605873 
0.95375 -0.00276129 
0.955 0.000458154 
0.95625 0.00357155 
0.9575 0.00655111 
0.95875 0.00936955 
0.96 0.0120003 
0.96125 0.0144178 
0.9625 0.0165975 
0.96375 0.0185165 
0.965 0.0201535 
0.96625 0.0214895 
0.9675 0.0225075 
0.96875 0.0231934 
0.97 0.0235363 
0.97125 0.0235285 
