# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_Bip_wrt_sqL_1> 
0.88875 0.00018977 
0.89 0.000158149 
0.89125 0.000127475 
0.8925 9.78677e-05 
0.89375 6.94376e-05 
0.895 4.22844e-05 
0.89625 1.64982e-05 
0.8975 -7.84146e-06 
0.89875 -3.06648e-05 
0.9 -5.19121e-05 
0.90125 -7.15341e-05 
0.9025 -8.9491e-05 
0.90375 -0.000105753 
0.905 -0.000120301 
0.90625 -0.000133123 
0.9075 -0.000144219 
0.90875 -0.000153597 
0.91 -0.000161274 
0.91125 -0.000167275 
0.9125 -0.000171635 
0.91375 -0.000174395 
0.915 -0.000175605 
0.91625 -0.000175323 
0.9175 -0.000173611 
0.91875 -0.000170539 
0.92 -0.000166185 
0.92125 -0.00016063 
0.9225 -0.000153959 
0.92375 -0.000146266 
0.925 -0.000137644 
0.92625 -0.000128192 
0.9275 -0.000118011 
0.92875 -0.000107205 
0.93 -9.58785e-05 
0.93125 -8.41381e-05 
0.9325 -7.20901e-05 
0.93375 -5.98404e-05 
0.935 -4.74944e-05 
0.93625 -3.51557e-05 
0.9375 -2.29258e-05 
0.93875 -1.09031e-05 
0.94 8.17161e-07 
0.94125 1.2144e-05 
0.9425 2.29912e-05 
0.94375 3.32779e-05 
0.945 4.29291e-05 
0.94625 5.18763e-05 
0.9475 6.0058e-05 
0.94875 6.74203e-05 
0.95 7.39173e-05 
0.95125 7.95115e-05 
0.9525 8.41742e-05 
0.95375 8.78858e-05 
0.955 9.06363e-05 
0.95625 9.24254e-05 
0.9575 9.32622e-05 
0.95875 9.31662e-05 
0.96 9.21666e-05 
0.96125 9.03024e-05 
0.9625 8.76222e-05 
0.96375 8.41842e-05 
0.965 8.00555e-05 
0.96625 7.53116e-05 
0.9675 7.0036e-05 
0.96875 6.43196e-05 
0.97 5.82592e-05 
0.97125 5.1957e-05 
0.9725 4.55195e-05 
0.97375 3.90557e-05 
0.975 3.26758e-05 
0.97625 2.64895e-05 
0.9775 2.06043e-05 
0.97875 1.5123e-05 
0.98 1.01414e-05 
0.98125 5.74614e-06 
0.9825 2.01154e-06 
0.98375 -1.00341e-06 
0.985 -3.2583e-06 
0.98625 -4.73493e-06 
0.9875 -5.44126e-06 
0.98875 -5.41552e-06 
0.99 -4.73083e-06 
0.99125 -3.50004e-06 
0.9925 -1.88092e-06 
0.99375 -8.17849e-08 
0.995 1.63257e-06 
0.99625 2.93447e-06 
0.9975 3.42657e-06 
0.99875 2.63467e-06 
1 0 


