# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_Bip_19> 
0.46375 -0.0594681 
0.465 -0.0595694 
0.46625 -0.0589272 
0.4675 -0.0575111 
0.46875 -0.0552979 
0.47 -0.0522725 
0.47125 -0.0484291 
0.4725 -0.0437729 
0.47375 -0.0383208 
0.475 -0.0321036 
0.47625 -0.0251673 
0.4775 -0.0175747 
0.47875 -0.00940755 
0.48 -0.000768311 
0.48125 0.00821779 
0.4825 0.0174005 
0.48375 0.0266021 
0.485 0.0356151 
0.48625 0.0441997 
0.4875 0.0520804 
0.48875 0.0589439 
0.49 0.0644354 
0.49125 0.0681555 
0.4925 0.0696568 
0.49375 0.0684403 
0.495 0.0639511 
0.49625 0.0555752 
0.4975 0.0426344 
0.49875 0.0243824 
0.5 -2.44943e-15 


0.5 -2.44943e-15 
0.50125 -0.0243824 
0.5025 -0.0426344 
0.50375 -0.0555752 
0.505 -0.0639511 
0.50625 -0.0684403 
0.5075 -0.0696568 
0.50875 -0.0681555 
0.51 -0.0644354 
0.51125 -0.0589439 
0.5125 -0.0520804 
0.51375 -0.0441997 
0.515 -0.0356151 
0.51625 -0.0266021 
0.5175 -0.0174005 
0.51875 -0.00821779 
0.52 0.000768311 
0.52125 0.00940755 
0.5225 0.0175747 
0.52375 0.0251673 
0.525 0.0321036 
0.52625 0.0383208 
0.5275 0.0437729 
0.52875 0.0484291 
0.53 0.0522725 
0.53125 0.0552979 
0.5325 0.0575111 
0.53375 0.0589272 
0.535 0.0595694 
0.53625 0.0594681 
0.5375 0.0586596 
0.53875 0.0571852 
0.54 0.0550903 
0.54125 0.0524236 
0.5425 0.0492364 
0.54375 0.0455816 
0.545 0.0415136 
0.54625 0.0370872 
0.5475 0.0323574 
0.54875 0.0273788 
0.55 0.0222052 
0.55125 0.0168892 
0.5525 0.0114819 
0.55375 0.00603259 
0.555 0.000588633 
0.55625 -0.00480503 
0.5575 -0.0101059 
0.55875 -0.0152739 
0.56 -0.0202721 
0.56125 -0.0250659 
0.5625 -0.0296239 
0.56375 -0.0339176 
0.565 -0.0379215 
0.56625 -0.041613 
0.5675 -0.0449726 
0.56875 -0.0479835 
0.57 -0.0506321 
0.57125 -0.0529075 
0.5725 -0.0548016 
0.57375 -0.0563088 
0.575 -0.0574265 
0.57625 -0.0581543 
0.5775 -0.0584942 
0.57875 -0.0584506 
0.58 -0.05803 
0.58125 -0.057241 
0.5825 -0.056094 
0.58375 -0.0546012 
0.585 -0.0527766 
0.58625 -0.0506354 
0.5875 -0.0481946 
0.58875 -0.0454719 
0.59 -0.0424866 
0.59125 -0.0392587 
0.5925 -0.0358091 
0.59375 -0.0321593 
0.595 -0.0283316 
0.59625 -0.0243485 
0.5975 -0.0202329 
0.59875 -0.016008 
0.6 -0.011697 
0.60125 -0.00732311 
0.6025 -0.00290934 
0.60375 0.00152147 
0.605 0.00594681 
0.60625 0.0103446 
0.6075 0.0146934 
