# This file was generated by the deal.II library.
# Date =  2020/4/29
# Time =  23:43:07
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_L_wrt_M_7> 
0.6975 1.25761 
0.69875 1.24418 
0.7 1.22965 
0.70125 1.21403 
0.7025 1.19736 
0.70375 1.17963 
0.705 1.16087 
0.70625 1.1411 
0.7075 1.12033 
0.70875 1.09859 
0.71 1.0759 
0.71125 1.05227 
0.7125 1.02774 
0.71375 1.00232 
0.715 0.976028 
0.71625 0.948901 
0.7175 0.920959 
0.71875 0.892226 
0.72 0.862727 
0.72125 0.832491 
0.7225 0.801542 
0.72375 0.769909 
0.725 0.737619 
0.72625 0.7047 
0.7275 0.671181 
0.72875 0.637092 
0.73 0.602461 
0.73125 0.567318 
0.7325 0.531694 
0.73375 0.495619 
0.735 0.459124 
0.73625 0.42224 
0.7375 0.384999 
0.73875 0.347432 
0.74 0.309572 
0.74125 0.27145 
0.7425 0.233098 
0.74375 0.19455 
0.745 0.155837 
0.74625 0.116993 
0.7475 0.0780503 
0.74875 0.0390416 
0.75 -3.64986e-15 
0.75125 -0.0390416 
0.7525 -0.0780503 
0.75375 -0.116993 
0.755 -0.155837 
0.75625 -0.19455 
0.7575 -0.233098 
0.75875 -0.27145 
0.76 -0.309572 
0.76125 -0.347432 
0.7625 -0.384999 
0.76375 -0.42224 
0.765 -0.459124 
0.76625 -0.495619 
0.7675 -0.531694 
0.76875 -0.567318 
0.77 -0.602461 
0.77125 -0.637092 
0.7725 -0.671181 
0.77375 -0.7047 
0.775 -0.737619 
0.77625 -0.769909 
0.7775 -0.801542 
0.77875 -0.832491 
0.78 -0.862727 
0.78125 -0.892226 
0.7825 -0.920959 
0.78375 -0.948901 
0.785 -0.976028 
0.78625 -1.00232 
0.7875 -1.02774 
0.78875 -1.05227 
0.79 -1.0759 
0.79125 -1.09859 
0.7925 -1.12033 
0.79375 -1.1411 
0.795 -1.16087 
0.79625 -1.17963 
0.7975 -1.19736 
0.79875 -1.21403 
0.8 -1.22965 
0.80125 -1.24418 
0.8025 -1.25761 
0.80375 -1.26993 
0.805 -1.28113 
0.80625 -1.29118 
0.8075 -1.30009 
0.80875 -1.30784 
0.81 -1.31441 
0.81125 -1.31981 
0.8125 -1.32401 
0.81375 -1.32702 
0.815 -1.32883 
0.81625 -1.32943 
0.8175 -1.32882 
0.81875 -1.32699 
0.82 -1.32394 
0.82125 -1.31967 
0.8225 -1.31418 
0.82375 -1.30747 
0.825 -1.29954 
0.82625 -1.2904 
0.8275 -1.28004 
0.82875 -1.26848 
0.83 -1.25571 
0.83125 -1.24174 
0.8325 -1.22659 
0.83375 -1.21026 
0.835 -1.19275 
0.83625 -1.17409 
0.8375 -1.15427 
0.83875 -1.13333 
0.84 -1.11126 
0.84125 -1.08808 
0.8425 -1.06381 
0.84375 -1.03847 
0.845 -1.01208 
0.84625 -0.984643 
0.8475 -0.956194 
0.84875 -0.926748 
0.85 -0.896329 
0.85125 -0.86496 
0.8525 -0.832663 
0.85375 -0.799466 
0.855 -0.765393 
0.85625 -0.730471 
0.8575 -0.694728 
0.85875 -0.658194 
0.86 -0.620898 
0.86125 -0.582871 
0.8625 -0.544144 
0.86375 -0.50475 
0.865 -0.464722 
0.86625 -0.424095 
0.8675 -0.382903 
0.86875 -0.341182 
0.87 -0.298969 
0.87125 -0.256302 
0.8725 -0.213218 
0.87375 -0.169757 
0.875 -0.125958 
0.87625 -0.0818608 
0.8775 -0.0375072 
0.87875 0.00706144 
0.88 0.0518031 
0.88125 0.0966749 
0.8825 0.141634 
0.88375 0.186636 
0.885 0.231637 
0.88625 0.276592 
0.8875 0.321456 
0.88875 0.366184 
0.89 0.410729 
0.89125 0.455046 
0.8925 0.499088 
0.89375 0.542809 
0.895 0.586161 
0.89625 0.629098 
0.8975 0.671573 
0.89875 0.713538 
0.9 0.754946 
0.90125 0.795751 
0.9025 0.835905 
0.90375 0.875361 
0.905 0.914073 
0.90625 0.951993 
0.9075 0.989077 
0.90875 1.02528 
0.91 1.06055 
0.91125 1.09485 
0.9125 1.12813 
0.91375 1.16034 
0.915 1.19146 
0.91625 1.22142 
0.9175 1.25019 
0.91875 1.27773 
0.92 1.304 
0.92125 1.32896 
0.9225 1.35257 
0.92375 1.37479 
0.925 1.39559 
0.92625 1.41493 
0.9275 1.43278 
0.92875 1.4491 
0.93 1.46387 
0.93125 1.47706 
0.9325 1.48863 
0.93375 1.49856 
0.935 1.50683 
0.93625 1.51342 
0.9375 1.5183 
0.93875 1.52146 
0.94 1.52287 
0.94125 1.52253 
0.9425 1.52042 
0.94375 1.51653 
0.945 1.51086 
0.94625 1.5034 
0.9475 1.49415 
0.94875 1.48311 
0.95 1.47028 
0.95125 1.45566 
0.9525 1.43928 
0.95375 1.42113 
0.955 1.40124 
0.95625 1.37963 
0.9575 1.35632 
0.95875 1.33133 
0.96 1.30469 
0.96125 1.27644 
0.9625 1.24661 
0.96375 1.21525 
0.965 1.18241 
0.96625 1.14812 
0.9675 1.11245 
0.96875 1.07546 
0.97 1.03721 
0.97125 0.99776 
0.9725 0.957192 
0.97375 0.915583 
0.975 0.873015 
0.97625 0.829576 
0.9775 0.785361 
0.97875 0.74047 
0.98 0.695007 
0.98125 0.649083 
0.9825 0.602816 
0.98375 0.556328 
0.985 0.50975 
0.98625 0.463216 
0.9875 0.416869 
0.98875 0.370858 
0.99 0.325339 
0.99125 0.280475 
0.9925 0.236436 
0.99375 0.1934 
0.995 0.151551 
0.99625 0.111082 
0.9975 0.0721936 
0.99875 0.0350941 
1 0 


